ID,,Cs,K40,Ra,Th,U,LF,Ba,Nb,Zr,Sr,Rb,Pb,Zn,Fe,Mn,Cr,Ti,Ca,Al,P,Si,Mg,V
42633,S1,3.73,445,24.8,26,41.7,44.8,272.77,10.47,186.48,360.84,62.25,12.08,47.43,20105.14,259.01,90.34,2876.7,185988.2,35149.08,1104.07,161458.59,3944.15,56.67
42653,S1,2.84,533,33.5,33.8,41.4,43.7,342.37,12.08,226.51,392.19,78.22,14.92,62.26,22804.77,250.86,78.39,3389.78,158492.02,41484.38,1064.15,169675.84,3992.01,59.63
42656,S1,2.94,516,28.6,34.2,48.1,42.2,351.12,10.43,178.56,522.67,77.19,14.87,71.18,21169.07,305.97,61.64,3340.13,176925.56,39449.94,1314.66,168952.03,3840.61,42.11
42657,S1,3.24,546,27.3,33.2,53.1,25.4,302.87,11.51,157.54,490,79.21,13.5,67.41,23004.56,396.77,80.32,3183.65,171179.3,41774.51,1116.09,165760.28,3507.03,61.27
42658,S1,1.95,404,30,28.6,38,33.8,306.89,10.94,224.24,439.45,53.82,16.29,44.33,18263.02,324.41,66.4,2915.43,198378.55,32408.88,1111.35,157717.92,3545.03,41.31
42659,S1,4.12,545,33.6,35.3,36.2,48.3,389.35,10.69,170.48,449.07,84.29,17.56,66.89,24718.21,395.48,69.44,3241.24,168063.61,44404.34,1286.99,173154.06,3834.79,69.14
42660,S1,2.82,541,26.8,34.6,32.3,26.4,346.31,11.71,195.17,477.96,75.99,14.39,55.67,22597.69,299.26,67.15,3467.01,167803.39,40237.02,1163.11,174068.61,3314.09,70.33
42662,S1,3.7,579,30.9,34.5,45,31.4,324.08,12.22,167.05,396.86,88.9,17.42,69.4,24179.42,241.77,93.91,3616.44,161633.59,45019.42,1081.88,174372.3,4072.81,83.29
42665,S1,4.54,494,32.9,30.9,50,79,322.49,12.37,230.38,365.58,73.83,13.4,45.36,21680.02,361.69,59.79,3427.83,155000.08,39627.71,1113.7,188212.03,3950.3,71.54
42666,S1,6.92,470,35.1,31.7,47.2,82.9,274.77,12.42,266.09,274.69,71.19,19.95,72.69,24994.6,342.74,86.3,3517.72,121743.21,36401.05,1241.71,194237.27,3708.46,70.62
42667,S1,6.37,513,28.6,33.8,32.2,60.8,277.5,10.69,192.63,370,74.46,17.26,59.73,22761.49,312.32,82.95,3341.08,165283.56,39858.23,1111.77,178870.53,3799.74,61.49
42673,S1,4.25,586,27.1,36.5,48.7,63.5,318.28,11.31,214.08,311.33,89.31,14.54,64.11,25650.42,420.94,82.67,3654.32,130252.09,44185.17,1241.89,191584.19,3640.86,79.11
42675,S1,4.69,552,28.1,38.6,49.3,67.8,315.58,12.14,235.26,312.75,81.12,16.52,57.4,25494.56,364.02,83.05,3588.04,140655.94,45320.97,1158.99,193922.66,4136.7,67.08
42676,S1,3.77,533,26.7,35.8,32.2,44,366.7,10.49,191.65,355.8,85.58,17.61,61.37,25636.71,370.76,85.13,3498.47,149329.34,45162.17,1086.64,181249.97,5080.62,81.17
42683,S1,2.99,574,27.9,33.6,33,39.5,352.06,10.74,168.25,423.73,77.61,13.07,51.09,21853.95,307.71,80.61,3305.92,174544.67,39806.78,980.99,163145.11,3833.07,75.11
42686,S1,3.59,436,29.4,26.9,38.8,10.4,322.56,9.1,153.93,486.95,61.75,13.56,54.18,18780.11,245.79,58.36,2953.05,191851.95,33790.2,1058.22,157375.52,3452.96,52.77
42688,S1,3.11,505,26.6,32.2,39.4,37,312.93,9.4,181.92,445.04,73.5,13.61,62.95,21631.11,278.15,55.7,3140.07,180051.7,39810.86,1023.56,164623.28,2701.05,62.98
